HOSPITAL OR CLNIC NAME ,PROVIDER TYPE,EMIRATE,ADDRESS,TELEPHONE,GOLD NETWORK,SILVER PREMIUM NETWORK,SILVER CLASSIC NETWORK,GREEN NETWORK,EMERALD NETWORK,PEARL NETWORK,DENTAL COVER,SPECIAL REMARKS
SILA HOSPITAL IN PATIENT PHARMACY,SEHA PHARMACY,ABU DHABI,"Abu Dhabi-Sila Road (E 11), Al Sila, Abu DhabiLandmark: Opposite Al Sila Park",02-8070000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SEHA KIDNEY CARE CENTER - AL AIN PHARMACY,SEHA PHARMACY,ABU DHABI,"Tawam, Near Abela Supermarket, Al Ain - Abu Dhabi",03-7072993,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Abu Dhabi Airport Medical Center,SEHA CLINIC,ABU DHABI,"Abu Dhabi International Airport, Abu Dhabi",02 575 7875,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Disease Prevention and Screening Center- Shahama,SEHA CLINIC,ABU DHABI,"Al Shahama, Opp. Abu Dhabi Islamic Bank - Abu Dhabi",02 811 4263,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ETIHAD VISA SCREENING CENTER,SEHA CLINIC,ABU DHABI,"Khalifa A, Etihad Plaza - Abu Dhabi",800 50,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MOBILE MAMMOGRAPHY UNIT,SEHA CLINIC,ABU DHABI,"Al ain, Abu dhabi",02-7113000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SEHA Dialysis Services - Tawam Hospital,SEHA CLINIC,ABU DHABI,Tawam Campus Tawam Campus Tawam Campus,02-5012925,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Ain Dental Center,SEHA CLINIC,ABU DHABI,AL MAQAM 15258 UAE,02-7112830 ,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Disease Prevention and Screening Center- Delma,SEHA CLINIC,ABU DHABI,"Western Region, Delma Island, Abudhabi.",02-8781888,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Disease Prevention and Screening Center- Mussafah,SEHA CLINIC,ABU DHABI,"Al Ain-Abu Dhabi Road, Mussafah, Opposite Adnoc Petrol Station",02 651 0555,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
MADINAT MOHAMED BIN ZAYED HEALTHCARE CENTER PHARMACY,SEHA PHARMACY,ABU DHABI,"Zone 15, MBZ , Abu Dhabi",80050,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Khazna  HealthCare Center Pharmacy,SEHA PHARMACY,ABU DHABI,"Al Khazna Area, Al Ain",02 566 1350,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Neima Healthcare Center  Pharmacy,SEHA PHARMACY,ABU DHABI,106th St. Omar Bin Al Khattab,03-746 1541,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Jahili Healthcare Center Pharmacy,SEHA PHARMACY,ABU DHABI,"Jahli District 16, Al Ain",03-746 2021,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Quaa  HealthCare Center Pharmacy,SEHA PHARMACY,ABU DHABI,"Eastern Al Ain Region, Border of Oman ,Al Qua , AUH",03-746 2321,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Hili HealthCare Pharmacy,SEHA PHARMACY,ABU DHABI,"Ndood Jham, Hili, Al Ain",03-7845328,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Muweiji HealthCareCenter Pharmacy,SEHA PHARMACY,ABU DHABI,"Al Muweiji Area, Al Ain",03 767 8864,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Maqam  HealthCare Center Pharmacy,SEHA PHARMACY,ABU DHABI,"23rd St. Al Maqam District, Eastern Al Ain Region, Al Maqam Area, Al Ain City", 02-8114000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Yahar HealthCare Center Pharmacy,SEHA PHARMACY,ABU DHABI,"Al Jahili, Downtown Al Ain next to Megamart Jahli",03-746 2561,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Mezyad  HealthCare Center Pharmacy,SEHA PHARMACY,ABU DHABI,"22nd Shiek Maktoum Road, New Samha, Abu Dhabi",02-811 4321,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Zakher  HealthCare Center Pharmacy,SEHA PHARMACY,ABU DHABI,"Eastren Region, Zakher Area, AAN",03 782 8042,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Mushrif Children's Specialty Centre Pharmacy,SEHA PHARMACY,ABU DHABI,"Mushrif Area , Airport Road nearby Al-Nahda School, AUH",02- 8191568,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
DISEASE PREVENTION AND SCREENING CENTER PHARMACY- AL AIN,SEHA PHARMACY,ABU DHABI,"Shakhboot Bin Sultan Street (#131), Opposite Al Ain Hospital, Al Ain - Abu Dhabi",03- 7627777,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Disease Prevention and Screening Center Pharmacy- Abu Dhabi,SEHA PHARMACY,ABU DHABI,Al Karamah Street - Abu Dhabi,02 711 4000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Shamkha Healthcare Center,SEHA CLINIC,ABU DHABI,"Area 20, 31st St. Abu Dhabi-Sweihan Road, Shamka",800 50,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Disease Prevention and Screening Center- Madinat Zayed,SEHA CLINIC,ABU DHABI,"Madinat Zayed Old Hospital, AUH",02-8846223,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Mushrif Children's Specialty Centre,SEHA CLINIC,ABU DHABI,"Mushrif Area , Airport Road nearby Al-Nahda School, AUH",02 8191568,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SEHA KIDNEY CARE CENTER - CENTRAL PHARAMCY,SEHA PHARMACY,ABU DHABI,"(Administration Offices, 2nd floor), close to Mafraq Hospital)",02-5012925,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SHEIKH KHALIFA MEDICAL CITY PHARMACY - INPATIENT,SEHA PHARMACY,ABU DHABI,"Karama Street, Abu Dhabi City,",02-8190000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Sir Baniyas Clinic,SEHA CLINIC,ABU DHABI,"Bani Yas, Abu Dhabi, United Arab Emirates",02-8070000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Sheikh Khalifa Medical City (SKMC) (R30),SEHA HOSPITAL,ABU DHABI,"Karama Street, Abu Dhabi City,",02-8190000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Jahli Healthcare Center,SEHA CLINIC,ABU DHABI,"Jahli District 16, Al Ain",800 50,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL SAMHA HEALTHCARE CENTER,SEHA CLINIC,ABU DHABI,"Al Samha Bridge, Middle Region, Abu Dhabi",5620048,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Bahya Healthcare Center,SEHA CLINIC,ABU DHABI,"Middle Region in front of old Bus Station, AUH",02-5632599,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
DISEASE PREVENTION AND SCREENING CENTER - BANIYAS,SEHA CLINIC,ABU DHABI,"Middle Region , East 7 Baniyas , Abu Dhabi",5831733,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL MAQTAA HEALTHCARE CENTER,SEHA CLINIC,ABU DHABI,"30th St. Khaleej Al Rabi, Maqta Road, Abu Dhabi",02-5757875,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SIR BANIYAS CLINIC PHARMACY,SEHA PHARMACY,ABU DHABI,"Bani Yas, Abu Dhabi, United Arab Emirates",02-8070000,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Towayya Children's Specialty Centre,SEHA CLINIC,ABU DHABI,"111th St. Al Towayya, Al Ain",03-7677444,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SEHA KIDNEY CARE CENTER - ABU DHABI,SEHA CLINIC,ABU DHABI,"Karama Street, Abu Dhabi City,",02-5012925,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SEHA KIDNEY CARE CENTER - AL AIN,SEHA CLINIC,ABU DHABI,"Tawam, Near Abela Supermarket, Al Ain - Abu Dhabi",02-5012925,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Al Corniche Womens Health Center Pharmacy,SEHA PHARMACY,ABU DHABI,Corniche Street beside Sheraton Abu Dhabi,02-6724900,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ONCOLOGY OUTPATIENT PHARMACY,SEHA PHARMACY,ABU DHABI,"Tawam Campus, Maqam Street",03-7075940,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ULTRALASIK EYE CENTER - SOLE PROPRIETORSHIP L.L.C,CLINIC,ABU DHABI,"Abu Dhabi Plaza Building, 1st Floor, office 105",02-5859087,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,
BRIGHT LIFE MEDICAL CENTER,CLINIC,DUBAI,"PA SON HYPERMARKET BUILDING, DUBAI INVESTMENT PARK-2, DUBAI, U.A.E",04-8833000,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
GOOD WILL CLINIC L.L.C,CLINIC,DUBAI,"AL BATEEL MALL, JABAL ALI INDUSTRIAL AREA, JABAL ALI, DUBAI, U.A.E",04-8848777,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
BRIGHT CARE CLINIC L.L.C,CLINIC,DUBAI,"G33 BUILDING, GROUND FLOOR, AIKO MALL, DIP-1, DUBAI,U.A.E",971-55-7758011 ,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
GOODWILL PHARMACY L.L.C,PHARMACY,DUBAI,"AL BATEEL MALL, JABAL ALI INDUSTRIAL AREA, JABAL ALI, DUBAI, U.A.E",04-8848777,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
Bab Al Hayat Pharmacy L L C ,PHARMACY,DUBAI,"FIDA AL MADINA HYPER MARKET BUILD, 38,C539, DIP-2, DUBAI, Dubai, United Arab",04-8831248,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
BAB AL NOOR PHARMACY L.L.C,PHARMACY,DUBAI,"MUSTHAFA MALL, 19TH ALGERIA STREET, MUHAISNAH SECOND, DUBAI, Dubai, United Arab Emirates",04-3444293,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SEHA AL NOOR PHARMACY L.L.C,PHARMACY,DUBAI,"G33 BUILDING, GROUND FLOOR, AIKO MALL, DIP-1, DUBAI,U.A.E",971-55-7758011 ,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ZAHRAT AL NOOR PHARMACY L.L.C,PHARMACY,DUBAI,"PA SON HYPERMARKET BUILDING, DUBAI INVESTMENT PARK-2, DUBAI, U.A.E",04-8814111,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL YAMAMAH MEDICAL CENTRE-SHARJAH,CLINIC,SHARJAH,sharjah,06-5352160,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
AMERICAN ACADEMY OF COSMETIC SURGERY HOSPITAL FZ LLC-DUBAI,HOSPITAL,DUBAI,DISTRICT 1  BUILDING NO  73  DUBAI HEALTHCARE CITY,04-4237672,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
NOVOMED WELLNESS CENTER PHARMACY ,PHARMACY,DUBAI,Villa number 2 street 17 C Um Suqeim 3,04-2474423,Covered,Covered,Covered,Covered,Not Covered,Not Covered,Not Covered,
ALYA MEDICAL CENTRE L.L.C-RAK,CLINIC,RAS AL KHAIMAH,"ADIL AL NUAIMI BUILDING,M-FLOOR,SHEIKH SAQR BIN MUHAMMAD AL QASIMI STREET,AL QUSAIDAT, RAS AL KHAIMAH, U.A.E",07-2441235,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
ALYA PHARMACY L.L.C,PHARMACY,RAS AL KHAIMAH,"ADIL AL NUAIMI BUILDING,M-FLOOR,SHEIKH SAQR BIN MUHAMMAD AL QASIMI STREET,AL QUSAIDAT, RAS AL KHAIMAH, U.A.E",07-2441235,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
OMNICARE MEDICAL CENTER - DUBAI,CLINIC,DUBAI,VILLA 1112  AL WASL ROAD  UMM SUQAIM 2 ,04-3388990,Covered,Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
PERFECT SMILE DENTAL CENTRE LLC,CLINIC,ABU DHABI,"203, AL DHABI TOWER, HAMDAN STREET",02-6334660,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Covered,
GMG MEDICAL CENTER LLC,CLINIC,DUBAI,"RNA RESOURCE BUILDING, BEHIND BELHASA DRIVING SCHOOL,AL QOUZ-4,DUBAI, U.A.E",04-2201918,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
PUBLIC LIFE PHARMACY L.L.C,PHARMACY,ABU DHABI,"SHOP NO-4, PARCO MALL, WORKES VILLAGE, AL MAFRAQ INDUSRIAL AREA, MUSSAFAH, ABU DHABI , U.A.E",02-5563658,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
AL SHEROUQ MEDICAL CENTER,CLINIC,SHARJAH,"AL AROOBA STREET,ORIENT BUILDING,1st FLOOR Falt No 11,ROLLA",06-5353039,Covered,Covered,Covered,Covered,Covered,Covered,Covered,
NOOR AL SHEFA CLINIC BRANCH 4,CLINIC,DUBAI,"Meena Retail Fze Building,Opposite Village Hyper Market,Near Gate 7,Jafza,Dubai",04-8844666,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
SAMARY PHARMACY BRANCH LLC,PHARMACY,DUBAI,"Jafza Commercial Center,Jafza South Accomodation,Jebel Ali Free Zone,Dubai,UAE",04-8817530,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY 124 (BR. OF LIFE PHARMACY LLC),PHARMACY,DUBAI,"International City
SHOP NO#1,2,3&4,CHEZ MOI BUILDING,PHASE 2,SHAKLAN",04-4566737,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY L.L.C - BRANCH OF ABU DHABI 130,PHARMACY,ABU DHABI,"SHOP NO #1, AL SHAHAMAH, Abu Dhabi",04-4566737,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY LLC - BRANCH OF ABU DHABI 17,PHARMACY,ABU DHABI,"UNIT NO: 3 IN P/704 BUILDING, MUSSAFAH ME 10",04-4566737,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY 125 BR. OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"DAR MIRA RESIDENCE, AL MEYDAN RD, NAD AL SHEBA 1, DUBAI, UAE",04-4566737,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
LIFE PHARMACY 138 BR OF LIFE PHARMACY LLC,PHARMACY,DUBAI,"RETAIL 1, 2, 3, PLOT NO: 1198, (BARARI HILLS) WADI AL SAFA 3, MAJAN,DUBAI,UAE",04-4566737,Covered,Covered,Covered,Covered,Covered,Covered,Not Covered,
YATEEM OPTICALS - ABU DHABI,OPTICAL,ABU DHABI,-,-,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (L.L.C)-Mall of Emirates - YATEEM GROUP,OPTICAL,DUBAI,Mall of Emirates Dubai,04-3414010,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-EMAAR TOWN CENTRE,OPTICAL,DUBAI,EMAAR TOWN CENTRE G 7  Ground Floor,04-3607466,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (BR)-AL RIGGA,OPTICAL,DUBAI,Al Riqqa Road  Deira  Dubai,04-2227717,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (BR) -JUMEIRA BEACH CENTER,OPTICAL,DUBAI,Jumeirah Beach center  Dubai,04-3490909,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (L.L.C) (BR)-EMIRATES TOWER,OPTICAL,DUBAI,Emirates Tower  Dubai,04-3303301,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (L.L.C)-AL GHURAIR CENTER,OPTICAL,DUBAI,Al Ghurair Center  Dubai,04-2281787,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (BR)-BURJUMAN CENTER,OPTICAL,DUBAI,Burjuman Center  Dubai,04-3522067,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (BR)- AL DIYAFA ROAD,OPTICAL,DUBAI,Al Diyafa road  Dubai,04-3453405,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (L.L.C) -MADINAT JUMEIRAH,OPTICAL,DUBAI,Madinat Jumeirah  Dubai,04-3686512,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (L.L.C) -LAMCY PLAZA,OPTICAL,DUBAI,Lamcy Plaza  Dubai,04-3347438,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN -DUBAI MALL,OPTICAL,DUBAI,Dubai Mall  Dubai,04-4340266,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN -ARABIAN CENTER,OPTICAL,DUBAI,Arabian Center  Dubai,04-2845505,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN -MIRDIF CITY CENTER,OPTICAL,DUBAI,Mirdif City Center  Dubai,04-2840660,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (BR)- ATLANTIS PALM DIERA,OPTICAL,DUBAI,Atlantis Palm diera  Atlantis Hotel  Dubai,04-4579440,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN L.L.C  - FUJAIRAH,OPTICAL,FUJAIRAH,Fujairah,09-2222068,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN- AJMAN,OPTICAL,AJMAN,Lulu  Ajman,06-7447658,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN-SAHARA CENTRE,OPTICAL,SHARJAH,Sahara Centre  Sharjah,06-5300605,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (BR)- ABU DHABI MALL,OPTICAL,ABU DHABI,Abu Dhabi Mall  AbuDhabi,050-5363438,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (BR)- AL AIN,OPTICAL,ABU DHABI,Al Ain  Abu Dhabi  UAE,050-3317814,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (BR)- MARINA MALL,OPTICAL,ABU DHABI,Marina Mall  Abu Dhabi  UAE,056-7363739,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (BR)-CRYSTAL TOWER,OPTICAL,ABU DHABI,Crystal Tower  Hamdan Road  Abu Dhabi  UAE,056-1416144,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN -AL FARDAN,OPTICAL,SHARJAH,AL FARDAN   SHARJAH,050-4972922,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM VISION- JUMEIRA  ZABEEL SARAY,OPTICAL,DUBAI,Jumeira  Zabeel Saray  Dubai,04-4541466,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (L.L.C) -GALLERIA MALL,OPTICAL,DUBAI,Galleria Mall Wasel Street Dubai,04-3431355,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (L.L.C) -AL WASL VITA,OPTICAL,DUBAI,Al Wasl Vita  Al Wasl Street  Dubai,04-3436406,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN-RAKMALL,OPTICAL,RAS AL KHAIMAH,Rakmall  Ras Al Khaimah,07-2264001,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
SUN EYE OPTICAL- JBR  WALK,OPTICAL,DUBAI,THE BEACH LOCATED ON JBR ROAD  THE WALK  DUBAI  UAE,050-4616759,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (BR)-AL WAHDA MALL,OPTICAL,ABU DHABI,Al Wahda Mall  Abu Dhabi  UAE,050-8208373,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
YATEEM OPTICIAN (BR)-RUWAIS MALL,OPTICAL,ABU DHABI,Ruwais Mall  Ruwais  Abu Dhabi  UAE,056-4395250,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-ABU DHABI MALL,OPTICAL,ABU DHABI,ABU DHABI MALL Unit No  B74  Level 1,02-6456533,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-MUSHRIF MALL,OPTICAL,ABU DHABI,MUSHRIF MALL Unit No  267  Second Floor,02-2221107,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-DALMA MALL,OPTICAL,ABU DHABI,DALMA MALL Unit No  FF115  First Floor,02-5504584,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-YAS MALL,OPTICAL,ABU DHABI,YAS MALL Unit No  G 023  Ground Floor,-,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-BAWADI MALL,OPTICAL,ABU DHABI,BAWADI MALL Unit No  G 102  Ground floor,02-7840034,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-AL GHURAIR,OPTICAL,DUBAI,AL GHURAIR Shop No  G28  Ground Floor,04-2249444,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-ARABIAN CENTER,OPTICAL,DUBAI,ARABIAN CENTER Shop No  1624  Ground Floor,04-2845051,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-ARABIAN RANCHES 2,OPTICAL,DUBAI,ARABIAN RANCHES 2 Shop  No  GF 03  Ground Floor,-,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-ASWAAQ -  MIZHAR,OPTICAL,DUBAI,ASWAAQ    MIZHAR Shop No  16  Ground Floor,04-2845054,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-BIN SOUGAT,OPTICAL,DUBAI,BIN SOUGAT GE 01 Ground Floor at Spinneys,04-2861180,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-CITYWALK,OPTICAL,DUBAI,CITYWALK Unit  No 51  Al Safa Road,04-3448699,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-DEIRA CITY CENTRE,OPTICAL,DUBAI,DEIRA CITY CENTRE Unit No  B68  Second Floor,04-2954400,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-DUBAI FESTIVAL CITY,OPTICAL,DUBAI,DUBAI FESTIVAL CITY Zone 8  Unit SC124   Ground Floor,04-2326446,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-DUBAI MALL,OPTICAL,DUBAI,DUBAI MALL Unit No  LG 099 1  Lower Ground Floor,04-3398100,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-DUBAI MARINA MALL,OPTICAL,DUBAI,DUBAI MARINA MALL Unit No  FF 050  First Floor,04-3997733,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-DUBAI OUTLET MALL,OPTICAL,DUBAI,DUBAI OUTLET MALL Shop No  110 A  GrounD Floor,04-4255828,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-EMAAR TOWN CENTRE,OPTICAL,DUBAI,EMAAR TOWN CENTRE G 7  Ground Floor,04-3607466,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-IBN BATTUTA,OPTICAL,DUBAI,IBN BATTUTA Shop No  55  Tunisia Court,04-3669806,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-JUMEIRAH TOWN CENTER,OPTICAL,DUBAI,JUMEIRAH TOWN CENTER Shop No  15  Ground Floor,04-3429933,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-LAMCY PLAZA,OPTICAL,DUBAI,LAMCY PLAZA Unit No  242 k 201  First Floor,04-3360773,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-MALL OF THE EMIRATES,OPTICAL,DUBAI,MALL OF THE EMIRATES Unit No  D 17  Ground Floor,04-3411322,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-MIRDIF CITY CENTRE,OPTICAL,DUBAI,MIRDIF CITY CENTRE Shop No  F 050  First Floor,04-2843771,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-SHEIKH ZAYED 1,OPTICAL,DUBAI,SHEIKH ZAYED 1 Ground Floor  Khalid Al Attar Tower  Sheikh Zayed Road,04-3311955,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-SHEIKH ZAYED 2,OPTICAL,DUBAI,SHEIKH ZAYED 2 Ground Floor  Al Ghadeer Building  Sheikh Zayed Road,04-3326236,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-THE WALK - JBR,OPTICAL,DUBAI,THE WALK   JBR GM 06  Sadaf 4,-,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-WAFI CITY,OPTICAL,DUBAI,WAFI CITY First floor  New Extension,04-3577775,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-SAHARA CENTRE,OPTICAL,SHARJAH,SAHARA CENTRE Shop No  145  Ground Floor,06-5315445,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
AL JABER OPTICAL-SHARJAH CITY CENTRE,OPTICAL,SHARJAH,SHARJAH CITY CENTRE Shop No  U10B  Ground Floor,06-5335424,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
OPTX 2020 - SAHARA,OPTICAL,SHARJAH,SAHARA Shop No 190 Ground Floor  NEW EXTENSION,06-5315445,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
MAGRABI OPTICAL - The Jumeirah Village Center,OPTICAL,DUBAI,The Jumeirah Village Center  Shop   1,04-4197039,,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,Not Covered,
